FECHA_INGRESO,RESULTADO,municipio_resx
2020-03-15,1,"CIUDAD DE MÉXICO,BENITO JUÁREZ"
2020-03-15,2,"CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS"
2020-03-15,1,"CIUDAD DE MÉXICO,GUSTAVO A. MADERO"
2020-03-15,5,"CIUDAD DE MÉXICO,MIGUEL HIDALGO"
2020-03-15,1,"CIUDAD DE MÉXICO,TLALPAN"
2020-03-15,1,"GUANAJUATO,IRAPUATO"
2020-03-15,1,"GUANAJUATO,LEÓN"
2020-03-15,1,"HIDALGO,PACHUCA DE SOTO"
2020-03-15,2,"JALISCO,GUADALAJARA"
2020-03-15,4,"MÉXICO,HUIXQUILUCAN"
2020-03-15,1,"MÉXICO,IXTAPALUCA"
2020-03-15,1,"MÉXICO,LA PAZ"
2020-03-15,4,"MÉXICO,NAUCALPAN DE JUÁREZ"
2020-03-15,2,"PUEBLA,SAN ANDRÉS CHOLULA"
2020-03-15,1,"PUEBLA,SAN PEDRO CHOLULA"
2020-03-15,1,"SONORA,HERMOSILLO"
2020-03-15,1,"TAMAULIPAS,ALTAMIRA"
2020-03-15,1,"VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RÍO"
2020-03-15,1,"VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ"
2020-03-15,4,"YUCATÁN,MÉRIDA"
2020-03-16,1,"BAJA CALIFORNIA,MEXICALI"
2020-03-16,1,"CIUDAD DE MÉXICO,BENITO JUÁREZ"
2020-03-16,1,"CIUDAD DE MÉXICO,COYOACÁN"
2020-03-16,3,"CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS"
2020-03-16,12,"CIUDAD DE MÉXICO,MIGUEL HIDALGO"
2020-03-16,1,"CIUDAD DE MÉXICO,TLALPAN"
2020-03-16,8,"CIUDAD DE MÉXICO,ÁLVARO OBREGÓN"
2020-03-16,1,"COAHUILA DE ZARAGOZA,MONCLOVA"
2020-03-16,1,"COLIMA,COLIMA"
2020-03-16,2,"GUANAJUATO,LEÓN"
2020-03-16,2,"GUERRERO,ACAPULCO DE JUÁREZ"
2020-03-16,6,"JALISCO,GUADALAJARA"
2020-03-16,6,"JALISCO,ZAPOPAN"
2020-03-16,1,"MÉXICO,ATIZAPÁN DE ZARAGOZA"
2020-03-16,2,"MÉXICO,HUIXQUILUCAN"
2020-03-16,1,"MÉXICO,IXTLAHUACA"
2020-03-16,1,"MÉXICO,TEXCOCO"
2020-03-16,1,"MÉXICO,TULTITLÁN"
2020-03-16,2,"NUEVO LEÓN,MONTERREY"
2020-03-16,4,"NUEVO LEÓN,SAN PEDRO GARZA GARCÍA"
2020-03-16,1,"PUEBLA,PUEBLA"
2020-03-16,1,"PUEBLA,TEHUACÁN"
2020-03-16,3,"QUINTANA ROO,BENITO JUÁREZ"
2020-03-16,1,"SAN LUIS POTOSÍ,SAN LUIS POTOSÍ"
2020-03-16,1,"SINALOA,AHOME"
2020-03-16,1,"TAMAULIPAS,REYNOSA"
2020-03-16,2,"YUCATÁN,MÉRIDA"
2020-03-16,1,"ZACATECAS,GUADALUPE"
2020-03-17,1,"AGUASCALIENTES,AGUASCALIENTES"
2020-03-17,3,"BAJA CALIFORNIA,TIJUANA"
2020-03-17,1,"BAJA CALIFORNIA SUR,LOS CABOS"
2020-03-17,3,"CIUDAD DE MÉXICO,BENITO JUÁREZ"
2020-03-17,1,"CIUDAD DE MÉXICO,COYOACÁN"
2020-03-17,11,"CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS"
2020-03-17,3,"CIUDAD DE MÉXICO,CUAUHTÉMOC"
2020-03-17,1,"CIUDAD DE MÉXICO,GUSTAVO A. MADERO"
2020-03-17,1,"CIUDAD DE MÉXICO,IZTAPALAPA"
2020-03-17,2,"CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS"
2020-03-17,8,"CIUDAD DE MÉXICO,MIGUEL HIDALGO"
2020-03-17,2,"CIUDAD DE MÉXICO,TLALPAN"
2020-03-17,2,"CIUDAD DE MÉXICO,ÁLVARO OBREGÓN"
2020-03-17,1,"COAHUILA DE ZARAGOZA,SALTILLO"
2020-03-17,1,"COAHUILA DE ZARAGOZA,TORREÓN"
2020-03-17,1,"DURANGO,GÓMEZ PALACIO"
2020-03-17,3,"GUERRERO,ACAPULCO DE JUÁREZ"
2020-03-17,1,"GUERRERO,CHILPANCINGO DE LOS BRAVO"
2020-03-17,1,"GUERRERO,TAXCO DE ALARCÓN"
2020-03-17,1,"HIDALGO,MINERAL DE LA REFORMA"
2020-03-17,1,"HIDALGO,PACHUCA DE SOTO"
2020-03-17,1,"JALISCO,CUAUTLA"
2020-03-17,3,"JALISCO,GUADALAJARA"
2020-03-17,2,"JALISCO,ZAPOPAN"
2020-03-17,1,"MORELOS,YAUTEPEC"
2020-03-17,1,"MÉXICO,ATIZAPÁN DE ZARAGOZA"
2020-03-17,1,"MÉXICO,CUAUTITLÁN"
2020-03-17,2,"MÉXICO,HUIXQUILUCAN"
2020-03-17,1,"MÉXICO,IXTAPALUCA"
